name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
PLURAL CAR Proteção Veicular,"Rua Anne Frank, 1673 - Hauer, Curitiba - PR, 81610-020",pluralcar.com.br,(41) 3121-3336,,4.3,-25.4810485,-49.3181843
No Alvo Tecnologia em Rastreamento,"Rua Professor Lucir Gallieri, 383 - São Braz, Curitiba - PR, 82315-240",noalvo.app.br,(41) 99992-4466,,5.0,-25.415157,-49.4314828
MFTCAR,"R. Piauí, 1875 - Parolin, Curitiba - PR, 80630-300",mftseguranca.com.br,(41) 3333-5006,,5.0,-25.4638808,-49.346996
SmartDriver Proteção Veicular em Curitiba,"R. Chile, 1775 - Rebouças, Curitiba - PR, 80220-181",cotacao.smartdriver.org.br,(41) 3333-9887,,4.8,-25.4638808,-49.346996
Atrack - Rastreamentos,,atrackrastreamentos.com.br,(41) 99695-8688,,5.0,-25.6133622,-49.3408447
Grupo Intersept - Empresa de segurança e terceirização de serviços,"R. Dom João VI, 299 - Cajuru, Curitiba - PR, 82900-150",intersept.com.br,(41) 3266-9581,,4.1,-25.4422349,-49.300382
Antena Tecnologia,"Av. Mal. Floriano Peixoto, 1791 - Centro, Curitiba - PR, 80230-110",antenatecnologia.com.br,0800 677 1020,,5.0,-25.4451564,-49.3367123
Forza Tecnologia,"Rua Grã Nicco, 113 - Conj 601 Andar 05 - Mossunguê, Curitiba - PR, 81200-200",eforza.com.br,(41) 3095-8080,,5.0,-25.4372217,-49.4009987
Max Rastreamentos,"R. Epaminondas Santos, 1849 - Bairro Alto, Curitiba - PR, 82820-090",solutudo.com.br,(41) 99193-0373,,1.0,-25.4119455,-49.2759607
SEGG - Proteção Veicular,"R. Pedro Gusso, 2001 - Cidade Industrial de Curitiba, Curitiba - PR, 81310-300",,0800 708 1507,,4.5,-25.502257,-49.3854244
Rastersul,"Rod. Régis Bittencourt, 26640 - A - Km 120 - Barracão A - Campo de Santana, Curitiba - PR, 82590-100",,(41) 99699-1992,,4.4,-25.5846747,-49.3866628
Ikonn Sistemas de Rastreamento e Monitoramento,"R. Alferes Poli, 405 - Centro, Curitiba - PR, 80230-090",ikonn.com.br,(41) 4063-8195,,5.0,-25.4401184,-49.343747
SCARTRACK BRASIL,,scartrack.com.br,0800 591 1989,,5.0,-24.6167086,-51.3935189
ALTEC RASTREAMENTO,,,(41) 98857-0707,,,-25.4757551,-49.2933727
Maxxtron Seguranca Veicular,"Rua Alberico Flores Bueno, 2496 - Bairro Alto, Curitiba - PR, 82820-070",,(41) 99625-4816,,,-25.4141794,-49.2725433
Technopartner,"R. Mal. Deodoro, 630 - Conjunto 1607 - Centro, Curitiba - PR, 80010-010",technopartner.com.br,(41) 3015-0028,,,-25.4303032,-49.3383589
Security PV,"R. Honduras, 457 - Centro, Pinhais - PR, 83320-170",securitypv.com.br,(41) 3033-0107,,3.4,-25.4353986,-49.2539148
CMS,"Rua Dr. Leão Mocellin, 70B - Santa Felicidade, Curitiba - PR, 82030-230",,(41) 99102-9563,,,-25.397762,-49.3902966
MFT Serviços,"R. Piauí, 1875 - Parolin, Curitiba - PR, 80630-300",mftseguranca.com.br,(41) 3333-5006,,4.3,-25.4638808,-49.346996
Fort's Rastreadores,"Rod. Dep. João Leopoldo Jacomel, 11205 - Pineville, Pinhais - PR, 83320-005",fortsrastreadores.com.br,(41) 98860-4664,,,-25.4345655,-49.248082
Now way,"R. XV de Novembro, 2223 - Centro, Curitiba - PR, 80060-000",,,,5.0,-25.426668,-49.3248808
